userID,cardID,quantity
1,A1-195,2
1,A1-230,1
1,A1-261,3
1,A1-033,1
1,A1-035,1
1,A3-232,1
1,A1-272,2
1,A3-013,1
1,A1-121,3
1,A1-024,2
1,A1-279,1
2,A2-186,2
2,A3-042,1
2,A2-118,4
2,A2-065,1
2,A1-016,3
2,A3-235,4
2,A1-173,2
2,A3-201,3
2,A1-031,4
2,A1-084,2
2,A2-021,2
2,A2-113,1
2,A3-103,4
2,A3-160,1
3,A2-111,4
3,A1-072,1
3,A2-082,3
3,A1-202,4
3,A2-149,4
3,A2-015,3
3,A3-233,3
3,A3-112,1
3,A3-023,3
3,A2-195,2
3,A3-101,4
3,A2-017,1
4,A1-193,3
4,A1-103,1
4,A1-061,4
4,A3-198,1
4,A1-198,1
4,A3-060,3
4,A3-103,3
4,A3-044,2
5,A3-221,1
5,A1-133,1
5,A1-247,1
5,A3-211,4
5,A1-042,4
5,A3-056,1
5,A2-166,2
5,A3-226,3
6,A3-084,2
6,A1-158,2
6,A3-062,1
6,A2-189,1
6,A2-055,3
6,A1-099,4
6,A2-187,3
6,A1-249,4
6,A3-072,2
6,A2-006,2
6,A1-166,4
6,A1-128,3
6,A3-130,4
7,A2-024,3
7,A1-082,1
7,A3-041,2
7,A2-135,4
7,A3-161,3
7,A3-045,1
7,A1-169,2
7,A1-255,1
8,A2-058,3
8,A2-060,4
8,A3-093,1
8,A3-011,2
8,A1-018,2
8,A3-172,3
8,A3-214,1
8,A1-098,4
8,A3-043,1
8,A3-234,4
8,A1-156,1
8,A3-105,2
8,A2-119,1
9,A2-077,2
9,A3-053,2
9,A1-104,1
9,A3-194,4
9,A2-185,4
9,A3-147,4
9,A2-204,1
9,A2-029,1
9,A3-096,1
9,A3-204,2
9,A2-109,2
9,A3-138,4
9,A1-170,3
9,A3-035,2
9,A1-054,1
10,A3-125,3
10,A3-047,3
10,A3-097,4
10,A2-004,4
10,A1-124,2
10,A3-151,4
10,A1-178,2
10,A2-124,2
10,A1-036,4
10,A2-045,4
10,A3-102,4
10,A1-064,4
10,A3-036,1
11,A1-174,3
11,A1-271,3
11,A3-102,2
11,A3-156,3
11,A1-246,3
11,A1-147,3
11,A3-008,4
11,A2-044,1
11,A1-262,3
11,A3-183,3
11,A2-162,1
11,A3-146,4
11,A3-213,4
11,A3-151,1
11,A1-169,3
12,A2-045,2
12,A3-180,3
12,A1-234,1
12,A1-145,3
12,A2-061,1
12,A3-079,2
12,A1-069,1
12,A1-216,3
13,A3-069,2
13,A2-085,3
13,A1-247,4
13,A3-089,1
13,A3-021,2
13,A1-154,2
13,A3-110,2
13,A3-061,3
14,A1-055,3
14,A1-186,4
14,A2-195,4
14,A1-245,1
14,A1-099,3
14,A1-057,2
14,A1-258,3
14,A3-004,4
14,A1-213,4
14,A2-025,2
14,A2-102,3
14,A3-046,2
14,A1-176,3
15,A3-020,4
15,A3-112,1
15,A3-213,1
15,A1-185,2
15,A1-127,2
15,A1-112,3
15,A3-013,4
15,A2-196,2
15,A2-088,4
15,A1-024,1
15,A3-106,2
15,A3-084,1
16,A3-058,2
16,A2-002,1
16,A2-007,2
16,A2-120,2
16,A2-042,1
16,A1-272,1
16,A3-238,4
16,A1-059,2
16,A1-094,2
16,A1-260,3
16,A1-166,4
16,A3-231,2
16,A3-123,2
16,A1-264,2
16,A1-027,4
17,A3-043,4
17,A1-132,1
17,A1-053,1
17,A2-096,1
17,A3-005,2
17,A3-199,3
17,A3-018,2
17,A2-059,1
18,A1-074,4
18,A3-026,4
18,A2-142,4
18,A1-020,4
18,A2-071,4
18,A1-197,4
18,A1-112,2
18,A1-086,2
18,A2-162,3
18,A1-131,1
18,A1-019,4
19,A3-096,2
19,A1-090,2
19,A2-008,2
19,A1-283,4
19,A1-001,1
19,A1-218,4
19,A2-087,2
19,A3-008,3
19,A1-110,3
19,A3-142,3
19,A1-139,2
20,A3-032,4
20,A2-160,1
20,A1-080,3
20,A1-123,3
20,A3-096,4
20,A3-227,2
20,A1-246,2
20,A3-170,1
20,A2-013,3
20,A2-078,1
20,A3-049,4
20,A3-153,1
20,A2-144,2
20,A3-025,1
21,A1-123,1
21,A2-014,4
21,A2-085,3
21,A3-124,4
21,A3-101,1
21,A2-146,2
21,A1-043,3
21,A1-269,1
21,A1-148,2
21,A3-056,1
21,A1-092,2
21,A1-053,3
21,A3-217,2
21,A3-015,2
21,A1-048,2
22,A3-048,1
22,A2-091,2
22,A3-037,3
22,A2-151,4
22,A2-003,3
22,A3-198,2
22,A3-157,4
22,A2-121,4
22,A1-241,3
22,A3-019,3
23,A2-124,4
23,A1-237,3
23,A3-091,3
23,A3-022,3
23,A3-064,4
23,A2-019,3
23,A3-183,3
23,A1-018,1
24,A1-127,2
24,A2-043,4
24,A3-096,3
24,A2-057,1
24,A2-137,2
24,A2-144,1
24,A1-156,3
24,A3-151,2
24,A2-128,1
25,A1-031,3
25,A1-123,2
25,A3-148,3
25,A2-124,1
25,A3-018,1
25,A1-002,2
25,A3-131,1
25,A2-105,4
25,A3-156,4
25,A2-164,1
25,A1-126,2
26,A2-163,2
26,A1-025,2
26,A3-060,4
26,A1-065,1
26,A2-143,4
26,A1-200,2
26,A3-092,3
26,A1-276,3
26,A2-044,2
26,A2-200,3
26,A3-061,2
26,A1-164,3
26,A3-098,4
26,A1-155,3
26,A3-011,1
27,A1-147,1
27,A1-245,1
27,A2-010,4
27,A2-175,1
27,A1-043,2
27,A1-029,2
27,A2-063,3
27,A3-199,3
28,A2-103,4
28,A2-120,4
28,A1-024,3
28,A2-072,2
28,A1-086,1
28,A2-131,3
28,A2-068,1
28,A1-165,3
28,A3-126,2
28,A1-152,4
28,A2-095,4
28,A2-052,4
28,A1-040,3
29,A2-167,4
29,A2-149,3
29,A2-141,1
29,A2-148,4
29,A1-040,3
29,A3-207,2
29,A3-046,3
29,A1-071,1
29,A2-025,4
29,A3-180,2
30,A1-131,1
30,A1-250,1
30,A2-184,2
30,A1-272,4
30,A3-131,3
30,A3-223,3
30,A1-270,4
30,A2-069,2
30,A3-129,1
30,A1-008,2
31,A1-233,2
31,A2-018,1
31,A3-094,4
31,A1-128,2
31,A1-228,2
31,A2-072,3
31,A3-183,2
31,A3-185,4
31,A1-142,1
31,A3-214,2
31,A2-193,2
31,A2-037,3
31,A1-256,3
31,A1-269,3
31,A1-246,3
32,A1-124,3
32,A3-143,3
32,A2-142,2
32,A2-008,3
32,A2-100,1
32,A2-084,3
32,A1-192,2
32,A3-181,3
33,A1-113,4
33,A3-050,4
33,A3-189,4
33,A3-042,2
33,A3-077,3
33,A2-010,4
33,A3-014,4
33,A3-052,2
33,A3-227,2
33,A3-233,4
33,A2-153,2
33,A1-263,4
33,A2-202,4
34,A3-098,4
34,A3-024,1
34,A3-047,2
34,A1-229,3
34,A1-236,1
34,A2-105,1
34,A3-082,3
34,A2-058,1
34,A1-037,3
34,A1-267,3
34,A1-053,1
34,A2-049,4
34,A2-042,1
34,A2-069,4
35,A3-219,4
35,A3-121,1
35,A1-125,2
35,A1-085,4
35,A2-108,3
35,A1-159,1
35,A3-088,4
35,A1-045,1
35,A2-193,3
35,A1-147,2
35,A1-116,2
35,A1-179,2
35,A2-112,2
35,A3-053,1
35,A1-075,2
36,A1-242,3
36,A3-204,4
36,A2-041,4
36,A2-005,1
36,A2-181,4
36,A3-104,4
36,A3-047,4
36,A1-150,1
37,A3-067,3
37,A3-073,2
37,A1-241,1
37,A2-121,1
37,A3-207,3
37,A1-147,2
37,A1-025,4
37,A2-190,1
37,A1-141,3
37,A1-053,4
37,A1-115,3
37,A3-148,2
37,A3-032,1
37,A1-223,2
37,A1-281,1
38,A3-170,3
38,A2-160,2
38,A1-174,4
38,A3-082,4
38,A1-066,2
38,A2-178,4
38,A2-129,3
38,A1-123,4
38,A1-206,2
38,A2-043,1
38,A1-131,2
38,A2-195,1
39,A1-154,2
39,A1-010,4
39,A3-053,4
39,A2-026,4
39,A3-131,1
39,A1-210,1
39,A1-254,4
39,A3-048,1
40,A1-103,2
40,A3-235,1
40,A2-168,1
40,A3-024,2
40,A2-041,2
40,A1-004,2
40,A2-124,3
40,A3-089,2
40,A2-177,3
40,A3-008,1
40,A3-237,3
41,A1-247,2
41,A1-238,3
41,A1-236,3
41,A1-070,2
41,A2-165,2
41,A3-212,4
41,A1-142,3
41,A2-177,2
41,A3-122,1
42,A1-279,4
42,A1-135,3
42,A3-170,1
42,A2-153,4
42,A2-012,1
42,A1-248,3
42,A1-280,2
42,A1-032,3
42,A3-225,4
42,A3-011,2
42,A2-181,4
42,A1-057,1
43,A3-159,2
43,A2-153,2
43,A1-019,2
43,A1-249,4
43,A3-118,2
43,A3-198,2
43,A1-173,2
43,A2-176,4
43,A1-096,4
44,A3-097,3
44,A1-285,1
44,A1-044,2
44,A1-016,1
44,A2-076,4
44,A3-053,4
44,A2-020,3
44,A3-224,1
44,A2-029,1
44,A1-152,1
44,A1-094,2
44,A3-002,2
44,A3-164,1
44,A1-085,1
45,A1-103,4
45,A1-006,3
45,A1-179,1
45,A1-106,1
45,A3-155,1
45,A3-137,1
45,A2-187,4
45,A3-215,3
45,A2-050,1
45,A3-097,3
45,A2-022,4
45,A3-105,1
45,A1-040,3
45,A1-249,2
46,A2-059,3
46,A3-145,3
46,A2-160,3
46,A3-158,2
46,A3-198,1
46,A1-001,4
46,A3-058,3
46,A2-181,1
46,A2-014,4
47,A1-244,1
47,A2-173,3
47,A1-175,1
47,A1-091,1
47,A1-133,4
47,A3-029,4
47,A2-092,4
47,A3-024,1
47,A3-207,1
47,A1-109,4
47,A1-028,4
47,A1-074,3
47,A1-087,3
48,A3-195,1
48,A3-161,4
48,A3-049,1
48,A3-029,3
48,A3-200,2
48,A3-214,4
48,A1-166,3
48,A1-139,3
48,A3-238,1
48,A1-007,1
48,A2-048,1
49,A1-016,2
49,A3-047,3
49,A3-219,3
49,A1-090,3
49,A1-272,1
49,A3-173,1
49,A3-177,3
49,A3-163,2
49,A2-202,2
49,A1-171,1
49,A2-152,2
50,A2-198,2
50,A1-163,4
50,A3-005,4
50,A3-147,4
50,A2-035,3
50,A3-060,4
50,A3-218,2
50,A2-126,4
50,A3-068,3
50,A3-057,4
50,A2-004,1
50,A3-153,2
50,A1-021,3
50,A1-058,4
50,A3-070,1
51,A1-196,2
51,A1-099,2
51,A3-175,3
51,A1-197,3
51,A1-039,4
51,A3-072,4
51,A3-155,4
51,A1-041,1
52,A3-080,2
52,A2-057,4
52,A3-209,1
52,A2-179,2
52,A3-028,1
52,A1-214,2
52,A2-164,3
52,A1-167,3
52,A2-025,2
52,A1-121,3
52,A1-207,4
53,A3-088,4
53,A2-072,4
53,A3-010,1
53,A3-018,2
53,A3-064,3
53,A1-033,2
53,A2-143,3
53,A3-224,3
54,A1-279,1
54,A1-163,4
54,A2-105,3
54,A2-178,3
54,A3-103,4
54,A3-085,2
54,A1-017,3
54,A1-180,4
54,A2-166,2
54,A3-195,1
54,A1-008,1
54,A3-154,3
54,A1-005,4
55,A1-225,1
55,A2-163,4
55,A3-107,4
55,A1-242,4
55,A1-053,2
55,A3-095,3
55,A1-247,3
55,A2-162,1
55,A3-050,2
55,A2-087,1
55,A1-046,1
55,A3-030,2
55,A3-092,2
55,A1-088,1
55,A1-047,1
56,A2-152,1
56,A3-036,2
56,A3-148,4
56,A3-162,4
56,A2-189,3
56,A2-096,1
56,A1-233,1
56,A1-069,1
56,A2-127,3
56,A3-043,1
56,A2-147,2
56,A3-210,4
56,A3-072,2
56,A3-189,2
56,A2-180,1
57,A2-196,2
57,A1-055,3
57,A3-041,1
57,A2-150,3
57,A1-246,3
57,A2-131,1
57,A3-225,3
57,A1-180,1
57,A3-085,2
58,A3-009,1
58,A2-149,2
58,A1-201,4
58,A2-094,4
58,A1-141,1
58,A1-091,1
58,A2-040,4
58,A1-190,1
58,A1-001,1
58,A2-180,4
58,A2-076,2
59,A2-130,2
59,A2-141,4
59,A1-119,1
59,A2-103,1
59,A3-220,3
59,A3-126,1
59,A1-234,1
59,A2-115,1
59,A3-058,4
59,A3-157,1
59,A3-017,1
59,A1-004,3
59,A2-092,2
59,A3-173,1
60,A3-033,4
60,A3-010,3
60,A1-162,2
60,A3-124,3
60,A3-077,4
60,A2-019,3
60,A2-096,1
60,A1-119,1
60,A2-108,2
60,A2-199,2
60,A1-211,3
60,A3-055,2
60,A3-067,3
60,A1-147,1
60,A1-230,2
61,A2-087,4
61,A1-027,4
61,A2-185,1
61,A1-191,2
61,A1-275,4
61,A1-069,2
61,A1-285,2
61,A1-127,2
61,A2-138,2
61,A1-258,4
61,A3-105,4
62,A1-269,4
62,A2-143,1
62,A3-134,2
62,A1-164,1
62,A1-230,1
62,A3-075,3
62,A1-202,3
62,A1-274,2
63,A1-149,3
63,A2-075,1
63,A2-207,3
63,A1-225,4
63,A2-037,4
63,A1-071,2
63,A1-172,1
63,A1-176,2
63,A3-012,1
63,A2-101,2
63,A1-043,1
63,A1-048,1
63,A3-131,4
64,A2-123,3
64,A1-117,1
64,A3-164,2
64,A1-256,3
64,A3-146,3
64,A2-197,1
64,A1-269,2
64,A2-003,1
64,A2-166,4
64,A2-083,3
64,A2-009,1
65,A3-009,1
65,A3-222,2
65,A1-079,4
65,A3-184,2
65,A3-046,3
65,A3-163,1
65,A1-229,4
65,A2-117,3
65,A1-082,1
66,A3-132,4
66,A3-173,3
66,A1-059,1
66,A2-124,3
66,A3-113,1
66,A2-018,4
66,A1-256,2
66,A2-204,1
67,A2-013,1
67,A1-025,4
67,A1-269,3
67,A1-285,1
67,A1-197,1
67,A2-176,1
67,A1-113,3
67,A1-144,4
67,A2-083,2
68,A3-189,4
68,A1-189,4
68,A1-057,3
68,A3-204,4
68,A3-043,1
68,A2-023,2
68,A3-003,3
68,A3-133,3
68,A1-271,3
68,A3-085,4
68,A2-102,4
68,A1-108,2
68,A1-011,3
68,A1-172,1
69,A1-271,2
69,A1-139,2
69,A1-276,3
69,A3-087,3
69,A3-011,3
69,A2-090,4
69,A3-236,4
69,A1-240,2
69,A1-224,1
69,A2-144,2
69,A1-109,1
70,A2-036,1
70,A2-046,2
70,A1-008,4
70,A3-185,2
70,A3-060,2
70,A1-285,4
70,A3-032,1
70,A2-112,1
71,A2-039,2
71,A3-132,1
71,A3-140,3
71,A2-067,2
71,A2-176,1
71,A2-120,3
71,A3-045,2
71,A1-021,3
71,A1-192,3
71,A1-045,1
71,A2-157,3
71,A1-189,2
71,A3-211,1
71,A2-140,3
72,A3-020,4
72,A3-216,3
72,A2-160,3
72,A2-151,4
72,A1-259,1
72,A2-084,3
72,A2-007,2
72,A2-045,1
72,A3-032,3
72,A2-105,3
72,A3-013,4
72,A3-146,3
72,A1-271,1
72,A2-169,1
73,A1-241,1
73,A3-162,4
73,A1-086,2
73,A1-123,3
73,A3-109,2
73,A3-024,1
73,A2-092,3
73,A2-176,2
74,A3-085,1
74,A1-191,4
74,A3-075,2
74,A3-166,2
74,A1-006,3
74,A2-131,4
74,A2-003,3
74,A1-268,2
74,A1-159,1
75,A2-140,4
75,A2-003,3
75,A1-286,4
75,A3-004,4
75,A3-053,1
75,A3-226,4
75,A2-067,3
75,A3-025,2
75,A2-004,1
75,A2-056,3
75,A3-133,1
76,A1-199,2
76,A1-268,4
76,A1-270,4
76,A1-179,4
76,A1-109,2
76,A3-191,1
76,A1-095,2
76,A1-125,1
76,A2-032,4
76,A2-042,1
76,A2-185,1
76,A2-107,1
76,A2-137,2
77,A2-064,4
77,A3-031,4
77,A1-191,1
77,A3-170,2
77,A1-086,1
77,A2-056,3
77,A1-265,3
77,A1-045,1
78,A1-163,1
78,A3-024,4
78,A2-147,1
78,A1-208,2
78,A1-080,2
78,A1-018,3
78,A3-160,4
78,A1-242,3
78,A3-110,2
78,A2-090,4
78,A3-220,1
78,A3-107,1
78,A3-229,3
79,A2-049,3
79,A1-073,3
79,A2-152,2
79,A1-234,4
79,A2-194,1
79,A2-149,1
79,A1-227,4
79,A1-203,2
79,A3-200,2
79,A1-239,2
79,A3-050,3
80,A1-112,4
80,A1-255,3
80,A3-032,4
80,A1-087,2
80,A2-029,4
80,A3-053,4
80,A2-163,1
80,A3-113,1
80,A1-222,2
80,A2-008,2
80,A3-199,1
80,A3-071,1
81,A1-122,3
81,A1-234,4
81,A3-179,2
81,A3-204,3
81,A1-246,2
81,A2-044,3
81,A3-184,4
81,A3-023,1
81,A3-210,4
81,A1-269,1
81,A1-217,1
81,A3-147,3
81,A1-102,1
82,A2-189,1
82,A1-126,4
82,A3-003,4
82,A2-011,2
82,A1-275,1
82,A1-167,1
82,A3-220,2
82,A2-038,4
82,A3-124,1
82,A3-004,3
82,A1-090,1
82,A2-070,3
83,A1-198,2
83,A1-126,4
83,A2-091,4
83,A2-159,3
83,A2-089,1
83,A1-028,2
83,A1-001,3
83,A1-200,4
83,A2-036,2
83,A2-105,4
84,A1-283,4
84,A2-047,4
84,A3-220,2
84,A2-192,3
84,A3-028,4
84,A3-004,4
84,A1-057,4
84,A1-113,4
84,A1-182,2
84,A1-240,2
85,A2-148,3
85,A1-025,4
85,A1-121,1
85,A3-018,2
85,A3-224,1
85,A2-103,3
85,A1-219,1
85,A3-023,1
85,A3-216,2
86,A1-148,2
86,A1-214,3
86,A3-187,3
86,A3-016,4
86,A2-101,2
86,A2-001,4
86,A3-199,3
86,A2-030,3
86,A2-038,4
87,A2-116,3
87,A1-074,4
87,A3-146,2
87,A2-115,3
87,A1-246,3
87,A2-169,1
87,A3-181,1
87,A3-088,1
87,A3-216,1
87,A3-168,4
87,A3-145,1
87,A3-178,1
88,A2-185,2
88,A1-111,1
88,A3-138,2
88,A3-033,1
88,A3-058,1
88,A1-118,4
88,A1-188,2
88,A2-017,1
88,A1-010,2
88,A1-106,4
88,A2-184,4
88,A1-063,1
88,A1-191,2
89,A3-001,2
89,A1-056,4
89,A2-173,3
89,A1-029,2
89,A2-099,3
89,A3-186,1
89,A1-116,1
89,A2-117,4
89,A2-174,2
89,A3-092,2
89,A3-008,2
89,A3-038,1
89,A3-195,2
89,A3-216,3
89,A1-153,4
90,A1-155,2
90,A2-168,2
90,A2-116,3
90,A3-222,3
90,A2-092,2
90,A1-157,4
90,A3-170,4
90,A3-203,1
90,A3-115,2
91,A1-050,1
91,A1-170,2
91,A3-143,4
91,A2-156,3
91,A2-085,4
91,A3-109,4
91,A1-059,3
91,A2-091,3
91,A1-127,1
91,A2-086,4
91,A2-153,1
91,A1-104,3
91,A2-100,1
91,A2-071,3
92,A2-098,4
92,A1-035,3
92,A3-124,1
92,A3-236,4
92,A2-019,1
92,A3-195,1
92,A3-089,3
92,A3-172,2
92,A2-141,4
93,A2-081,3
93,A2-015,3
93,A1-225,3
93,A1-024,2
93,A2-141,2
93,A3-209,3
93,A2-114,1
93,A1-059,2
93,A2-098,3
93,A2-199,2
93,A3-112,2
93,A1-049,2
94,A1-191,3
94,A2-205,1
94,A2-134,4
94,A2-202,4
94,A3-232,3
94,A1-112,1
94,A2-036,4
94,A3-121,3
94,A1-252,3
94,A1-026,2
94,A3-101,3
94,A1-067,3
95,A2-128,3
95,A2-024,1
95,A1-157,1
95,A2-071,3
95,A2-197,4
95,A1-163,3
95,A3-021,4
95,A1-139,2
95,A2-193,3
95,A1-238,4
95,A2-093,4
95,A3-167,2
95,A1-179,1
95,A1-233,3
95,A1-087,3
96,A1-053,4
96,A2-022,1
96,A2-053,4
96,A3-041,3
96,A1-012,4
96,A3-152,2
96,A2-130,2
96,A2-131,1
96,A1-091,2
96,A2-184,2
96,A2-056,4
97,A3-165,4
97,A1-157,2
97,A3-003,1
97,A2-203,1
97,A3-168,4
97,A1-087,2
97,A3-048,1
97,A1-251,2
97,A1-110,2
97,A3-154,1
98,A1-066,1
98,A1-185,3
98,A1-282,3
98,A2-053,3
98,A1-125,1
98,A1-095,4
98,A1-265,3
98,A3-105,4
98,A3-220,1
98,A3-127,1
98,A1-014,2
98,A3-217,2
98,A3-219,2
98,A1-025,4
99,A1-136,1
99,A3-207,4
99,A1-003,1
99,A1-260,4
99,A3-123,2
99,A1-227,1
99,A3-103,1
99,A3-030,1
99,A3-187,2
99,A1-090,1
99,A3-063,3
99,A2-174,2
100,A1-090,2
100,A1-134,2
100,A1-067,3
100,A1-037,4
100,A1-078,2
100,A1-280,2
100,A2-138,1
100,A1-146,1
100,A3-159,2
100,A2-155,2
100,A2-204,3
100,A3-236,3
100,A3-224,3
